point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-122.0687481,44.72792893,0.08328512141223078,0.004425326626098816,0.010025834855714373,0.09285786886981323,0.015807361266766923,0.017702205093882404
1,-122.31635,47.13156,0.12059650279833643,-0.023879269993110675,0.0026450335575912806,0.10255642201955924,-0.04701850454324155,-0.009933528182212993
2,-124.23654,47.94122,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154,0.07361949199533516,0.008699415576507833,0.02977874088325035
3,-121.00774,48.77641,0.09858727336761434,-0.009683018690818876,0.01207872043972477,0.09631716656308842,-0.016694537807318218,0.014832911543928753
4,-120.97714,48.72036,0.058104531911642276,-0.018573198919028193,8.049099638454415e-05,0.07778437107250359,-0.00020305523176373532,0.016837940480050016
5,-122.449581,44.67748608,0.06897549078971583,-0.009768185961210792,0.006656001800159501,0.25568336269771313,-0.024759676569824543,0.013455402474503997
6,-122.5100322,44.67070005,0.18258831619773058,0.0810015999332878,0.012150676208653736,0.33176276751578976,-0.027373142980260286,0.02163655833877843
7,-122.7064143,44.65270142,0.06441266117203147,-0.013153591764491771,0.006623853424214902,0.23490410372433423,-0.05423305160869948,0.004048955221538934
8,-123.6989455,44.55566358,0.5709729344932349,0.4797024436357378,0.12309741980787803,0.35006901258816303,0.06417244795271888,0.002660965292436882
