title,q1_initial,q2_initial,q3_initial,r_initial,q1_optimized,q2_optimized,q3_optimized,r_optimized,initial_objective_function,final_objective_function
15 points - initial params v2,0.0005,0.0008,0.004,0.0015,0.00070336486,0.00026672644,0.00422482944,0.00107482962,3.0059,2.197
15 points - initial params v1,0.00125,0.000125,0.000125,0.003,0.12982292969,0.00624972536,4.272533e-05,0.01286076879,2.2356,1.569
