point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.05946180537780842,0.07116851719754096,0.03066368904712347,0.16129401162247284
7,0.13447591542585052,0.14334826611419735,0.05215694076047912,0.32998112230052695
5,0.12152719079979468,0.1390642751190684,0.05721689849489271,0.31780836441375576
6,0.10746024468454457,0.1627218559750936,0.05605484119905164,0.3262369418586898
9,0.06802478771441915,0.06157124774152128,0.017461625974356944,0.14705766143029736
1,0.03392949408151422,0.03644097045732176,0.020628299813548606,0.09099876435238459
2,0.03230213600275086,0.028757349938048734,0.01905448308792138,0.08011396902872096
11,0.028366291181752917,0.02640925681798178,0.012053698466934406,0.0668292464666691
4,0.0205081518432217,0.019928254908132086,0.008626860236810249,0.04906326698816403
14,0.01397539508284329,0.014672710976257372,0.011499879168067146,0.04014798522716781
8,0.013028976301691291,0.015886333538681404,0.008988937987383096,0.03790424782775579
0,0.010467345091749116,0.008760800614361774,0.009038669324197224,0.028266815030308114
12,0.007453503263240353,0.009935189901489538,0.008376830683231426,0.025765523847961318
3,0.006055498864430563,0.0059836738074643655,0.004837414167757407,0.016876586839652336
10,0.004339565309468054,0.043221652950701975,0.056962126395900516,0.10452334465607055
13,0.0015272465197891784,0.0045602229648256856,0.004630109958669778,0.010717579443284643
