point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.0571634506757499,0.03225917502148323,0.03653937440796716,0.1259620001052003
7,0.11991621910236233,0.03981690917347113,0.06414606163649116,0.22387918991232464
6,0.11491471700019482,0.0708476014369334,0.08035177860144352,0.2661140970385717
5,0.11411995583497422,0.03680756633430957,0.06956489762952603,0.22049241979880982
9,0.06318558815983448,0.05237208198171986,0.012898893681369655,0.128456563822924
1,0.03344060031005328,0.03603067633738717,0.02014330417669872,0.08961458082413917
2,0.030294913023663703,0.025527900554823447,0.01891875480924416,0.0747415683877313
11,0.02673568544171715,0.02211068299040002,0.008733870013001833,0.057580238445119
10,0.026519551617834286,0.038874869533644774,0.05664315239058588,0.12203757354206493
4,0.02007015744274891,0.0196417429145436,0.007318667231823641,0.047030567589116154
14,0.013692784082616986,0.014000998095357943,0.011303591029863813,0.03899737320783874
8,0.013592128000775371,0.016258502154290307,0.008586467838803225,0.03843709799386891
0,0.009625272087356779,0.0038757461170866973,0.007974479803628488,0.021475498008071962
12,0.007214706002551217,0.008554525015492885,0.0067111252498179026,0.022480356267862003
3,0.005491310782904473,0.0012715520220000116,0.004734464476450421,0.011497327281354906
13,0.0031282426906892227,0.004627160780282146,0.003949542308750568,0.011704945779721938
