run,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
multiple lambda - initial params v2,0.1151831561214276,0.15954874161452792,0.05193110457238532,0.32666300230834083
single lambda - initial params v2,0.11518318741320961,0.15954877146929922,0.05193103691331813,0.32666299579582697
multiple lambda - inital params v1,0.1155910918368682,0.16058209801665593,0.046745844281514765,0.32291903413503886
single lambda - inital params v1,0.11554642211966376,0.15974725312675303,0.04714069144041291,0.3224343666868297
