point,intercept_rms,cos_rms,sin_rms,sum
0,0.007842831356660201,0.011399436410347973,0.011912539458086104,0.031154807225094276
1,0.013137668479177501,0.015833810121289104,0.01034254830013345,0.039314026900600055
2,0.11410569593935191,0.09440643770801642,0.05666515379176658,0.2651772874391349
3,0.09149751201416984,0.11342717061305023,0.06839580439758369,0.27332048702480377
4,0.10486953681970919,0.08652972314819946,0.06103490153537562,0.25243416150328424
5,0.18023542103311582,0.2620902912160356,0.0925530927045781,0.5348788049537295
