point,INTP,COS0,SIN0,estimate,z,date,CCDC_INTP,CCDC_COS,CCDC_SIN
0,0.0044677594380388,-0.0940371420779766,-0.0657359637944358,0.0593053593726867,0.0479675009846687,1496620800000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0044677594380388,-0.0940371420779766,-0.0657359637944358,0.0693971543310711,0.0,1497139200000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0044677594380388,-0.0940371420779766,-0.0657359637944358,0.078797866971623,0.0,1497657600000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0044677594380388,-0.0940371420779766,-0.0657359637944358,0.0874074398967392,0.0,1498176000000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0076872026447429,-0.0870702912396715,-0.0619412584329861,0.0762088874660159,0.0598750002682209,1498694400000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0076872026447429,-0.0870702912396715,-0.0619412584329861,0.082580660632269,0.0,1499212800000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0131162575126287,-0.0853184443483326,-0.0596231656867646,0.0804700855672322,0.0735149979591369,1499731200000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0195486696741199,-0.0840698476203168,-0.0573891275960943,0.076452597825126,0.0683725029230117,1500249600000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0223017708635479,-0.0837311819480547,-0.0565236920341673,0.0760508264653107,0.0726625025272369,1500768000000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0225603619685252,-0.0837114192753267,-0.0564459417227591,0.0775939625336933,0.077282503247261,1501286400000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0225603619685252,-0.0837114192753267,-0.0564459417227591,0.0783757904766764,0.0,1501804800000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0175920783072895,-0.0836602147759338,-0.0584624112963657,0.0842684006737878,0.0902625024318695,1502323200000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0175920783072895,-0.0836602147759338,-0.0584624112963657,0.0830639701438442,0.0,1502841600000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0175920783072895,-0.0836602147759338,-0.0584624112963657,0.08078819719061,0.0,1503360000000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0163299929421491,-0.0834514541321918,-0.0590878057832652,0.0791318463379838,0.0806099995970726,1503878400000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0121045515944625,-0.0828860212171855,-0.0605480586321758,0.080102390673157,0.0852025002241134,1504396800000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0066158915039959,-0.0821644976156991,-0.0619887563687492,0.0815217953078028,0.0880900025367736,1504915200000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0066158915039959,-0.0821644976156991,-0.0619887563687492,0.0388656153884776,0.0,1528156800000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0066158915039959,-0.0821644976156991,-0.0619887563687492,0.0481364937968697,0.0,1528675200000.0,-6.991275,-0.0019962164,-0.020395614
0,-0.0066158915039959,-0.0821644976156991,-0.0619887563687492,0.056824609876998,0.0,1529193600000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0472380347240886,-0.096739330100605,-0.0273357667429035,0.1385087470657311,0.1736425012350082,1529712000000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0472380347240886,-0.096739330100605,-0.0273357667429035,0.1423642612210143,0.0,1530230400000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0562451146316538,-0.0992039410482719,-0.025632385856,0.1565920150408999,0.1675374954938888,1530748800000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0626601518387264,-0.1005398052806804,-0.0257126016944814,0.165939420751031,0.1740275025367736,1531267200000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0677576355020825,-0.1013556427532501,-0.0263220345983448,0.1724752832154616,0.1788125038146972,1531785600000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0677576355020825,-0.1013556427532501,-0.0263220345983448,0.171900127606558,0.0,1532304000000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0736785938071638,-0.1019347561014571,-0.0279332220601803,0.1773742515281383,0.1846150010824203,1532822400000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0736785938071638,-0.1019347561014571,-0.0279332220601803,0.1747155131936055,0.0,1533340800000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0823265796862087,-0.1020006894127683,-0.0307190160623107,0.1814079767172143,0.1916549950838089,1533859200000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0823265796862087,-0.1020006894127683,-0.0307190160623107,0.1768497376280114,0.0,1534377600000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0823265796862087,-0.1020006894127683,-0.0307190160623107,0.1712854321310298,0.0,1534896000000.0,-6.991275,-0.0019962164,-0.020395614
0,0.0823265796862087,-0.1020006894127683,-0.0307190160623107,0.164774284452004,0.0,1535414400000.0,-6.991275,-0.0019962164,-0.020395614
0,0.1018033968203398,-0.0973883962807974,-0.0377485274860497,0.1808989545838155,0.201224997639656,1535932800000.0,-6.991275,-0.0019962164,-0.020395614
0,0.1018033968203398,-0.0973883962807974,-0.0377485274860497,0.1734497577006679,0.0,1536451200000.0,-6.991275,-0.0019962164,-0.020395614
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.1215745314106073,0.1186700016260147,1496620800000.0,0.13462807,0.014021786,-0.00060016447
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.1205000726900746,0.0,1497139200000.0,0.13462807,0.014021786,-0.00060016447
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.119706310968871,0.0,1497657600000.0,0.13462807,0.014021786,-0.00060016447
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.1192016947269337,0.0,1498176000000.0,0.13462807,0.014021786,-0.00060016447
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.1189915948962215,0.0,1498694400000.0,0.13462807,0.014021786,-0.00060016447
1,0.1468724538730827,0.0278763187569769,-0.0007823343440142,0.1190782476946789,0.0,1499212800000.0,0.13462807,0.014021786,-0.00060016447
1,0.1472192154835314,0.0276764487491749,-0.0009857588930591,0.1200366915142076,0.1204850003123283,1499731200000.0,0.13462807,0.014021786,-0.00060016447
1,0.1497713689817237,0.0269105430193633,-0.0020220680401141,0.1242860106875651,0.1276350021362304,1500249600000.0,0.13462807,0.014021786,-0.00060016447
1,0.1485123296123853,0.0271235918948308,-0.0016031029299054,0.1237289459700054,0.1221349984407424,1500768000000.0,0.13462807,0.014021786,-0.00060016447
1,0.1485123296123853,0.0271235918948308,-0.0016031029299054,0.1250083360241351,0.0,1501286400000.0,0.13462807,0.014021786,-0.00060016447
1,0.1517872007413415,0.0269400733317412,-0.0029643137714008,0.1307015502390533,0.1347299963235855,1501804800000.0,0.13462807,0.014021786,-0.00060016447
1,0.147985703964917,0.0270134279254246,-0.0016808566661891,0.1279093218522114,0.1232625022530555,1502323200000.0,0.13462807,0.014021786,-0.00060016447
1,0.147985703964917,0.0270134279254246,-0.0016808566661891,0.1298863571602432,0.0,1502841600000.0,0.13462807,0.014021786,-0.00060016447
1,0.147985703964917,0.0270134279254246,-0.0016808566661891,0.1320560346230592,0.0,1503360000000.0,0.13462807,0.014021786,-0.00060016447
1,0.1448130741647638,0.0265393839855669,-0.0002420821114249,0.1302886874760277,0.1265349984169006,1503878400000.0,0.13462807,0.014021786,-0.00060016447
1,0.1448130741647638,0.0265393839855669,-0.0002420821114249,0.1326546507101495,0.0,1504396800000.0,0.13462807,0.014021786,-0.00060016447
1,0.1444926472799439,0.0264734173089998,-0.0001235818099918,0.1347442045433922,0.1343725025653839,1504915200000.0,0.13462807,0.014021786,-0.00060016447
1,0.1511527334365715,0.0253130771081662,0.0045810207750725,0.1306086901176273,0.1346199959516525,1528156800000.0,0.13462807,0.014021786,-0.00060016447
1,0.1511527334365715,0.0253130771081662,0.0045810207750725,0.1291229451202107,0.0,1528675200000.0,0.13462807,0.014021786,-0.00060016447
1,0.1511527334365715,0.0253130771081662,0.0045810207750725,0.1278716763133718,0.0,1529193600000.0,0.13462807,0.014021786,-0.00060016447
1,0.1511527334365715,0.0253130771081662,0.0045810207750725,0.1268682016981283,0.0,1529712000000.0,0.13462807,0.014021786,-0.00060016447
1,0.1511527334365715,0.0253130771081662,0.0045810207750725,0.1261232018539641,0.0,1530230400000.0,0.13462807,0.014021786,-0.00060016447
1,0.1508924300614255,0.0254080819882942,0.0045730792459673,0.1252898049927107,0.1249400004744529,1530748800000.0,0.13462807,0.014021786,-0.00060016447
1,0.1478304874958297,0.0261291273110088,0.0048091724303572,0.1212740220950659,0.1173224970698356,1531267200000.0,0.13462807,0.014021786,-0.00060016447
1,0.1478304874958297,0.0261291273110088,0.0048091724303572,0.1213346451779381,0.0,1531785600000.0,0.13462807,0.014021786,-0.00060016447
1,0.1534025621516841,0.0253205572299794,0.0036042603607019,0.1284296716223211,0.1353349983692169,1532304000000.0,0.13462807,0.014021786,-0.00060016447
