point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-125.96531748461157,49.5518346400243,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.044276026194951884,-0.028293863255978127,-0.003483636133354953
1,-125.2266328264801,49.576717973394416,0.11302379141102505,-0.03202241604889265,0.02722177140954973,0.09540671713432262,-0.03982685237490111,0.009107575568504436
2,-125.1056297577092,41.307456288488986,-0.022214302589549716,-0.05905217578366507,-0.008453154925991635,0.0413412961047265,0.029367921791167182,0.016562609655288642
3,-124.9703434759208,45.437999796398955,0.04076218174696478,0.026898902090404346,0.017999629860762992,0.012853542918084366,-0.0006020186291652847,0.012768070708986022
4,-124.93539901136855,48.98930960910866,0.05482511317300758,-0.03012239647640009,0.011325646086874214,0.056507280164001625,-0.03030138987741584,0.00823148607944387
5,-124.89443583441269,41.75912921334428,0.07849998778641944,0.03658098903276083,0.04911232744121103,0.026005957585647423,0.009592749662445789,0.010267719319448414
6,-124.783943054466,49.34935437498377,0.11960894480417249,-0.02348180953688906,0.013420019879236043,0.2724916908602439,-0.017441862561063642,-0.010274699182117654
7,-124.7704683252042,40.81985075226891,-0.06116560705937197,-0.09589369155257829,-0.03126933040043687,0.030972507706624075,0.003951994751740116,0.013413698152697533
8,-124.76238348764713,41.24673017528251,-0.10047768209147899,-0.1344865801226036,-0.054862331568515506,-0.04900281671968991,-0.0827566298127542,-0.005663103670689531
9,-124.59125442602236,41.33503456771145,0.025631552932878904,-0.01928854433309836,0.014982304833482979,0.036957977519070206,0.017610269562549265,0.013555198685621253
10,-124.59062560532347,44.446708880373066,0.03331021236013941,0.009235952457750406,0.024586506130130456,0.02730476142389504,0.009493900648634509,0.023296938931321464
11,-124.56726940793637,41.42037451970281,0.09647183888825214,0.04266239648482568,0.06397323490675459,0.0724348181928315,0.05534231546499786,0.02940328628141422
12,-124.54840478696985,42.37950574855722,0.10285680701066799,0.05519611412879515,0.06374081898573113,-0.0014371568703410997,-0.020928698508788243,-0.004048868890881084
13,-124.45641730187602,42.779166218461995,-0.0006680134685783124,-0.07428923537067161,-0.016097798485475604,0.038304813930567186,-0.04341899842866387,0.0057311842389836855
14,-124.25842861325607,43.386427350526795,0.09307229805896952,-0.033171621430769446,0.010773258082292727,0.1405965411775231,-0.012140197225470184,0.02043805725030106
