point,INTP,COS0,SIN0,estimate,z,date,prob_increase,prob_no_change,prob_decrease
0,0.0,0.0,0.0,0.0,0.0,1654214400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1654560000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1654905600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1655251200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1655596800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1655942400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0771450027823448,1656288000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0958174988627433,1656633600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1656979200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1657324800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0755499973893165,1657670400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0980174988508224,1658016000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0672724992036819,1658361600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0864124968647956,1658707200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0718649998307228,1659052800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0842399969696998,1659398400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0636700019240379,1659744000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0869349986314773,1660089600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0636425018310546,1660435200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0850099995732307,1660780800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0654575005173683,1661126400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0756324976682663,1661472000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1661817600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0790975019335746,1662163200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.073184996843338,1662508800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1662854400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1685750400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0918987542390823,1686096000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1686441600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1686787200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1687132800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0862199962139129,1687478400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1687824000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0862062498927116,1688169600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1688515200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0911974981427192,1688860800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1689206400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0821912512183189,1689552000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1689897600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0756187438964843,1690243200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1690588800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0813387483358383,1690934400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1691280000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0703112483024597,1691625600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1691971200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.069362498819828,1692316800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1692662400000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0768700018525123,1693008000000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1693353600000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1693699200000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,1694044800000.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.070710003376007,1694390400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1654214400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1654560000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1654905600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1655251200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1655596800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1655942400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1115474998950958,1656288000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1361050009727478,1656633600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1656979200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1657324800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1080275028944015,1657670400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.138772502541542,1658016000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.115397498011589,1658361600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1378924995660781,1658707200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1029950007796287,1659052800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1177624985575676,1659398400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0996674969792366,1659744000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1351975053548813,1660089600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1015925034880638,1660435200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1308249980211258,1660780800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1093199998140335,1661126400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1265899986028671,1661472000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1661817600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1275250017642974,1662163200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0985125005245208,1662508800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1662854400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1685750400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1176387518644332,1686096000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1686441600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1686787200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1687132800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1199487522244453,1687478400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1687824000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1162912547588348,1688169600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1688515200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1323924958705902,1688860800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1689206400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1166075021028518,1689552000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1689897600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1091962456703186,1690243200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1690588800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1162225008010864,1690934400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1691280000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1070099994540214,1691625600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1691971200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1179549992084503,1692316800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1692662400000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.1066524982452392,1693008000000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1693353600000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1693699200000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1694044800000.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0995025038719177,1694390400000.0,0.0,0.0,0.0
