point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-123.55091549548354,42.88031651945386,0.0879322335312113,-0.009478184120021226,0.01603241913190191,0.07705875510771172,-0.013567052975764196,0.013851480740730079
1,-123.45254997187244,45.863082588844314,0.07243980488597467,-0.0297226168032192,-0.00968424485675699,0.09597649970845822,-0.005197348608426254,0.010965545269599985
2,-123.27657000771343,42.97221417301928,0.08971469061407222,-0.0007515194059455537,0.017628559853368794,0.31496395547072353,-0.04831036254062812,-0.004065794013759908
3,-123.06564557900217,42.39621441284184,0.16603805249650297,-0.023267294744034897,-0.01617256409711809,0.1254091394374715,-0.08354710414471071,-0.016440266763532257
4,-122.97446657766405,43.15906375211615,0.09647493153229783,0.011330076952766704,0.01907933812988006,0.08540076030505013,-0.0004044840302016042,0.016526233900556155
5,-122.70353468797359,43.72967362058886,0.11672642745500658,-0.008462769538115245,0.010760628411355038,0.1096224294300758,-0.004221420521887368,0.009653436395522292
6,-122.57471627623086,42.7574269885863,0.11142962233883064,-0.010519216306224275,0.0024761147328388904,0.09307576519772438,-0.026963257944352077,0.002432817445063809
7,-122.449580957153,44.677486076863374,0.06897550578600627,-0.009768171935020305,0.006656009431382752,0.25568336906762534,-0.024759674447295932,0.0134553966714667
8,-122.2706365525564,43.4819182652287,0.23047799524968765,0.041217297392688715,0.027807890574022224,0.20355919771856626,0.020081099548165324,0.0038107789813146466
9,-122.14828601085931,41.24601152305521,0.09445445138951179,-0.028178428420300876,0.010393369677847262,0.12235217064302141,-0.004215000539927546,0.03096217213522179
10,-122.08324798428906,41.2173552654918,0.18204680541064086,0.0023802770503370163,0.06074868458094656,0.1390462231674094,-0.03264135921173014,0.03985856932907048
11,-122.06878510821474,44.727971395830885,0.0832851283472599,0.0044253330140884084,0.010025837506459271,0.09285786351660213,0.01580735355714972,0.017702204563246136
