point,INTP,COS0,SIN0,z
0,0.25,-0.015,-0.045,0.0
0,0.2646978588885207,-0.0288268067431447,-0.0355198497668779,0.2953575
0,0.2646978588885207,-0.0288268067431447,-0.0355198497668779,0.0
0,0.2646978588885207,-0.0288268067431447,-0.0355198497668779,0.0
0,0.2646978588885207,-0.0288268067431447,-0.0355198497668779,0.0
0,0.2639493327079375,-0.0284191738939836,-0.0354215334420879,0.28532
0,0.2639493327079375,-0.0284191738939836,-0.0354215334420879,0.0
0,0.2645926821324548,-0.0286294289842404,-0.0355849370670496,0.29324
0,0.2645926821324548,-0.0286294289842404,-0.0355849370670496,0.0
0,0.2645926821324548,-0.0286294289842404,-0.0355849370670496,0.0
0,0.2645926821324548,-0.0286294289842404,-0.0355849370670496,0.0
0,0.2541551213578915,-0.0264445785568165,-0.0303748769552675,0.27465
0,0.2541551213578915,-0.0264445785568165,-0.0303748769552675,0.0
0,0.25131192154423,-0.0260874462908789,-0.0291510562304416,0.2830375
0,0.25131192154423,-0.0260874462908789,-0.0291510562304416,0.0
0,0.250621527984332,-0.0260430326125249,-0.0288790301728794,0.28681875
0,0.250621527984332,-0.0260430326125249,-0.0288790301728794,0.0
0,0.2615946648898066,-0.0261821726337939,-0.0329300063428263,0.3159274999999999
0,0.2615946648898066,-0.0261821726337939,-0.0329300063428263,0.0
0,0.2637636985553934,-0.0261068798151168,-0.0336803931739946,0.30876375
0,0.2637636985553934,-0.0261068798151168,-0.0336803931739946,0.0
0,0.2658617513205733,-0.0259397320647523,-0.0343510920798783,0.31143125
0,0.2658617513205733,-0.0259397320647523,-0.0343510920798783,0.0
0,0.2658617513205733,-0.0259397320647523,-0.0343510920798783,0.0
0,0.2658617513205733,-0.0259397320647523,-0.0343510920798783,0.0
0,0.2705105163062924,-0.0248361843299448,-0.0359606660478085,0.31825125
