point,INTP,COS0,SIN0,z
0,0.25,-0.015,-0.045,0.0
0,0.20348450283808,0.0287588083201346,-0.0750025945689118,0.08402
0,0.20348450283808,0.0287588083201346,-0.0750025945689118,0.0
0,0.20348450283808,0.0287588083201346,-0.0750025945689118,0.0
0,0.20348450283808,0.0287588083201346,-0.0750025945689118,0.0
0,0.1745944007784243,0.0444917979210539,-0.0712079795895147,0.07955125
0,0.1745944007784243,0.0444917979210539,-0.0712079795895147,0.0
0,0.1545771595205122,0.0510336967818966,-0.0661238221182778,0.076155
0,0.1545771595205122,0.0510336967818966,-0.0661238221182778,0.0
0,0.1435213427060559,0.0534349131829464,-0.0626234024663364,0.0839099999999999
0,0.1435213427060559,0.0534349131829464,-0.0626234024663364,0.0
0,0.1301217945722348,0.0554214710086627,-0.05791577940023,0.0746149999999999
0,0.1301217945722348,0.0554214710086627,-0.05791577940023,0.0
0,0.1159863900807204,0.0567652133169567,-0.0526954132695254,0.0663925
0,0.1159863900807204,0.0567652133169567,-0.0526954132695254,0.0
0,0.1072906208338282,0.0571783797324655,-0.049436436413376,0.07223625
0,0.1072906208338282,0.0571783797324655,-0.049436436413376,0.0
0,0.0972175525078882,0.0571948722688415,-0.0457146733899576,0.0682074999999999
0,0.0972175525078882,0.0571948722688415,-0.0457146733899576,0.0
0,0.0866315654128939,0.0567324137125966,-0.0419632946962182,0.0645775
0,0.0866315654128939,0.0567324137125966,-0.0419632946962182,0.0
0,0.0792469320125475,0.0560811596143397,-0.0395241510323402,0.069225
0,0.0792469320125475,0.0560811596143397,-0.0395241510323402,0.0
0,0.0792469320125475,0.0560811596143397,-0.0395241510323402,0.0
0,0.0792469320125475,0.0560811596143397,-0.0395241510323402,0.0
0,0.0696290421999295,0.0536729333846816,-0.0360748041808441,0.0736524999999999
