point,intercept,cos,sin,repetition
0,0.0643830,-0.022933,0.002803,25
0,0.07515626,-0.00617829,0.010517640,25
1,0.06441264,-0.0131536,0.00662384,25
1,0.2349041,-0.0542330,0.0040489,25
