run,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
15 points - initial params v2,0.10286471018573269,0.05276797474733248,0.06012190824492282,0.215754593177988
15 points - initial params v1,0.10370588925458522,0.05258441110183327,0.043314348284246865,0.19960464864066535
15 points - initial params v1 - observing estimate only,0.05953713026789798,0.07116335846947083,0.030743307389159955,0.16144379612652876
15 points - initial params v2 - observing estimate only,0.05946180537780842,0.07116851719754094,0.03066368904712347,0.16129401162247284
