point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
9,0.11508655254799006,0.07094351692487566,0.08048894098678051,0.2665190104596462
8,0.11993684621973902,0.03997103687910208,0.06429187853487571,0.2241997616337168
10,0.1143998662618869,0.03678127305847149,0.0699846690315248,0.2211658083518832
12,0.06329672114474387,0.052453599480868036,0.01325766946607676,0.12900799009168867
14,0.026534392188132146,0.03882275143856174,0.056696829558392906,0.12205397318508679
2,0.033396718500716384,0.03592725976268066,0.020215963469208394,0.08953994173260543
5,0.03024914218935585,0.02549319488233885,0.01894919626491772,0.07469153333661242
6,0.027300246686284058,0.024153319277288834,0.012088033441336231,0.06354159940490912
11,0.026879157517157217,0.02231338548691191,0.009147887953672051,0.05834043095774118
7,0.020073045211015106,0.019620153256572966,0.007504704928975217,0.04719790339656329
4,0.013707161759817734,0.014060613212158736,0.011349563170862298,0.03911733814283877
1,0.013589889126217884,0.01625322112842331,0.008650966512970912,0.0384940767676121
0,0.007195109668996754,0.00856847670411326,0.0069144848366659946,0.022678071209776007
3,0.003115558743790959,0.004615836412495811,0.004052981334629099,0.01178437649091587
13,0.005494092506618649,0.0012774194866447559,0.004851675027169478,0.011623187020432883
