point,value
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.0643830
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
0,0.07515626
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.06441264
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
1,0.2349041
