point,intercept,cos,sin,repetition
0,0832851283472599,0.0044253330140884084,0.010025837506459271,25
0,0.08707111740429133,0.007884545366368591,0.013884777075179135,25
1,0.12059649506018467,-0.023879279098794635,0.002645033339340447,25
1,-0.012784230898955891,-0.15104581099099557,-0.09609502337858392,25
2,0.06897550578600627,-0.009768171935020305,0.006656009431382752,25
2,0.08342926439956323,0.004251387314595084,0.014783621352388409,25
3,0.18258832393599483,0.08100160778189036,0.012150679081787312,25
3,0.16903123157355276,0.07368285189916836,0.0009481041255277404,25
4,0.0644126472826769,-0.0131536048425804,0.006623847284556548,25
4,0.06464634667913424,-0.012930930182289527,0.006790949737353669,25
5,0.5709729600876937,0.4797024678043001,0.12309742806612664,25
5,0.5999975553623267,0.5102898086591382,0.13952194748047478,25
