point,INTP,COS0,SIN0,estimate,z,date
0,0.0832851214122307,0.0044253266260988,0.0100258348557143,0.0834703221473839,0.0,1654560000000.0
0,0.0832851214122307,0.0044253266260988,0.0100258348557143,0.0819653769045967,0.0,1655251200000.0
0,0.0832851214122307,0.0044253266260988,0.0100258348557143,0.081220495980917,0.0,1655596800000.0
0,0.0832851214122307,0.0044253266260988,0.0100258348557143,0.0804853865609237,0.0,1655942400000.0
0,0.0824670687094781,0.0079646780290383,0.0094832759148756,0.0753720151054245,0.0742025,1656288000000.0
0,0.082973069775428,-0.0019006146525662,0.0084611825356668,0.085040145448464,0.0897675,1656633600000.0
0,0.082973069775428,-0.0019006146525662,0.0084611825356668,0.084456196700375,0.0,1656979200000.0
0,0.082973069775428,-0.0019006146525662,0.0084611825356668,0.0838652285772486,0.0,1657324800000.0
0,0.0829279790248687,0.0061203125349052,0.0173883955696025,0.0736862979051926,0.0697749999999999,1657670400000.0
0,0.0828471145831611,0.0008699901039263,0.0115916991024396,0.079075609423734,0.0818749999999999,1658016000000.0
0,0.0829624218032103,0.0061473938390516,0.0187625230491427,0.0711564496097644,0.06807,1658361600000.0
0,0.082838869373075,0.0009635330047621,0.0096650248205156,0.0782462959478575,0.0816,1658707200000.0
0,0.0829247392131707,0.004449210459004,0.0176325945832496,0.0710831882149077,0.0684549999999999,1659052800000.0
0,0.0828059619916873,-0.0002065761264728,0.0036449055792645,0.0811391259307278,0.0853125,1659398400000.0
0,0.0829244172706223,0.0041422641033212,0.0212137276437595,0.0675341139876782,0.0626249999999999,1659744000000.0
0,0.0828611389363765,0.0020934742637441,0.0095381712131206,0.0753072205074587,0.0783825,1660089600000.0
0,0.0828611389363765,0.0020934742637441,0.0095381712131206,0.0748996064269104,0.0,1660435200000.0
0,0.0828638040711975,0.002164712442473,0.0086400050886535,0.0751310548659084,0.0753025,1660780800000.0
0,0.0828903437402696,0.002145477389667,0.0225702558220605,0.064194016097627,0.060865,1661126400000.0
0,0.082862990149966,0.0022945104496678,0.0135132147055854,0.0705750151412584,0.0727725,1661472000000.0
0,0.0828008380884203,0.0034817584991021,-0.0069667243678708,0.0868647468659359,0.09183,1661817600000.0
0,0.0828330398484198,0.0022966249779029,0.0043275263568399,0.0779338660150926,0.07522,1662163200000.0
0,0.0828766998010159,-0.0001732963800005,0.0205079241622826,0.0642282891060706,0.0603425,1662508800000.0
0,0.0828766998010159,-0.0001732963800005,0.0205079241622826,0.0636856147133066,0.0,1662854400000.0
0,0.0828766998010159,-0.0001732963800005,0.0205079241622826,0.092963446843891,0.0,1685750400000.0
0,0.0831093875144443,0.0066130593093226,0.0172605031316201,0.0844215399605228,0.08402,1686096000000.0
0,0.0831093875144443,0.0066130593093226,0.0172605031316201,0.0831507788585954,0.0,1686441600000.0
0,0.0831093875144443,0.0066130593093226,0.0172605031316201,0.0818798218588233,0.0,1686787200000.0
0,0.0831093875144443,0.0066130593093226,0.0172605031316201,0.0806146841738548,0.0,1687132800000.0
0,0.0831053657938287,0.0064531540517805,0.0172626528381466,0.0795154972992866,0.07955125,1687478400000.0
