title,q1_initial,q2_initial,q3_initial,r_initial,q1_optimized,q2_optimized,q3_optimized,r_optimized,initial_objective_function,final_objective_function
multiple lambdas - start from 9 point initial - optimization 1,0.0005,0.0008,0.0036,0.0015,-9.529976e-05,0.00184460727,0.00351395594,0.00133986452,28.777,24.12
multiple lambdas - start from 9 point optimized - optimization 1,0.00063,0.0011,0.0044,-0.00022,-6.669319e-05,0.00152695478,0.00468609325,-0.000203809,28.078,23.57
single lambda - start from 9 point initial - optimization 1,0.0005,0.0008,0.004,0.0015,-5.885078e-05,0.00191094181,0.00390310624,0.00134561545,28.809,24.13
single lambda - start from 9 point optimized - optimization 1,0.00063,0.0011,0.0044,-0.00022,-6.693048e-05,0.00153487179,0.00470644507,-0.0002048873,28.078,23.57
