point,INTP,COS0,SIN0,z
0,0.25,-0.015,-0.045,0.0
0,0.2608705306409947,-0.0252263008175876,-0.0379884846240513,0.28214375
0,0.2608705306409947,-0.0252263008175876,-0.0379884846240513,0.0
0,0.2608705306409947,-0.0252263008175876,-0.0379884846240513,0.0
0,0.2608705306409947,-0.0252263008175876,-0.0379884846240513,0.0
0,0.259910514790507,-0.0247034947935295,-0.0378623898626275,0.2769325
0,0.259910514790507,-0.0247034947935295,-0.0378623898626275,0.0
0,0.2611844385029329,-0.0251198298906461,-0.0381859523694118,0.28708
0,0.2611844385029329,-0.0251198298906461,-0.0381859523694118,0.0
0,0.2605332840028497,-0.0249784054358584,-0.0379797881350731,0.288895
0,0.2605332840028497,-0.0249784054358584,-0.0379797881350731,0.0
0,0.2522712275687672,-0.0237535094392383,-0.0350771046226055,0.27397625
0,0.2522712275687672,-0.0237535094392383,-0.0350771046226055,0.0
0,0.2426919543698609,-0.0228428828853392,-0.03153936975309,0.2642
0,0.2426919543698609,-0.0228428828853392,-0.03153936975309,0.0
0,0.2418691349497554,-0.0228037878563931,-0.0312309957184556,0.2763
0,0.2418691349497554,-0.0228037878563931,-0.0312309957184556,0.0
0,0.2337086326234786,-0.0227904267456464,-0.0282158810753587,0.25914
0,0.2337086326234786,-0.0227904267456464,-0.0282158810753587,0.0
0,0.2314976810126796,-0.0228870141947602,-0.027432381464863,0.2644475
0,0.2314976810126796,-0.0228870141947602,-0.027432381464863,0.0
0,0.2292411335131697,-0.0230860201206195,-0.0266870440544221,0.26168375
0,0.2292411335131697,-0.0230860201206195,-0.0266870440544221,0.0
0,0.2292411335131697,-0.0230860201206195,-0.0266870440544221,0.0
0,0.2292411335131697,-0.0230860201206195,-0.0266870440544221,0.0
0,0.2251891262694616,-0.0241006033937882,-0.0252338377170001,0.25252625
