point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
17,0.35943996039387627,0.4702574996937372,0.10977207780991871,0.9394695378975322
6,0.23986106471058288,0.2577908521480432,0.05158508416191633,0.5492370010205424
12,0.15335578666908975,0.2565012898250021,0.08905406771888567,0.49891114421297755
16,0.03995547742969379,0.26614654791463443,0.06863690398776084,0.3747389293320891
9,0.134841557466391,0.1518304220022061,0.048771460547855916,0.33544344001645304
10,0.10890079031860209,0.17199451232122934,0.053196313759731335,0.33409161639956275
11,0.12272487521180533,0.14881108130595522,0.05139493986475024,0.32293089638251077
14,0.06734508958473845,0.06215779982100121,0.014792406346203213,0.1442952957519429
18,0.03048289982752278,0.030854829645031907,0.06849632993404077,0.12983405940659545
19,0.003878134669813888,0.045348297637554304,0.055256752927384876,0.10448318523475307
2,0.033565239572672455,0.03614950432620954,0.0200142579236282,0.08972900182251019
5,0.031845106031069666,0.028330203732509524,0.01865186162001164,0.07882717138359083
7,0.029126697303135878,0.02795102216042707,0.011430613838372673,0.06850833330193562
13,0.027467153734200986,0.02534186810882416,0.009122286473262648,0.06193130831628779
8,0.020226547617421275,0.01979956820478509,0.007341975484276802,0.047368091306483166
4,0.013766539608408838,0.01418490139265545,0.0108510176944166,0.038802458695480886
1,0.012722618977372662,0.01546146203030687,0.008322536814289756,0.03650661782196929
0,0.006979134203979148,0.008947120272195772,0.0069052588426874555,0.022831513318862375
15,0.006087608356630033,0.006483671586460513,0.0036541147509090476,0.016225394693999595
3,0.0014903321016289444,0.004462787117177961,0.0037700837650605987,0.009723202983867505
