point,INTP,COS0,SIN0,z
0,0.25,-0.015,-0.045,0.0
0,0.2022694546977041,0.0314753737712838,-0.0773108495375943,0.08402
0,0.2022694546977041,0.0314753737712838,-0.0773108495375943,0.0
0,0.2022694546977041,0.0314753737712838,-0.0773108495375943,0.0
0,0.2022694546977041,0.0314753737712838,-0.0773108495375943,0.0
0,0.1741470898343521,0.0466481461286082,-0.072549593980352,0.07955125
0,0.1741470898343521,0.0466481461286082,-0.072549593980352,0.0
0,0.1545509902192996,0.0525627176652704,-0.0668932039748243,0.076155
0,0.1545509902192996,0.0525627176652704,-0.0668932039748243,0.0
0,0.1437360419676017,0.0545621708305392,-0.0631673901404654,0.0839099999999999
0,0.1437360419676017,0.0545621708305392,-0.0631673901404654,0.0
0,0.1302174658541886,0.0561028451121141,-0.0581496758204733,0.0746149999999999
0,0.1302174658541886,0.0561028451121141,-0.0581496758204733,0.0
0,0.1158423125389043,0.0569946558059839,-0.0526791247836032,0.0663925
0,0.1158423125389043,0.0569946558059839,-0.0526791247836032,0.0
0,0.1070502759275562,0.057155161566979,-0.0493619154605888,0.07223625
0,0.1070502759275562,0.057155161566979,-0.0493619154605888,0.0
0,0.0968269581394829,0.056932766737136,-0.0456454245556188,0.0682074999999999
0,0.0968269581394829,0.056932766737136,-0.0456454245556188,0.0
0,0.0860868566133811,0.0562941443432828,-0.0419873856523532,0.0645775
0,0.0860868566133811,0.0562941443432828,-0.0419873856523532,0.0
0,0.0786346655858817,0.0555863108144171,-0.0396795707565381,0.069225
0,0.0786346655858817,0.0555863108144171,-0.0396795707565381,0.0
0,0.0786346655858817,0.0555863108144171,-0.0396795707565381,0.0
0,0.0786346655858817,0.0555863108144171,-0.0396795707565381,0.0
0,0.0689432085418711,0.0533530807978183,-0.0364785720040892,0.0736524999999999
1,0.25,-0.015,-0.045,0.0
1,0.2611544837070936,-0.0258611539262665,-0.0374490524370331,0.28214375
1,0.2611544837070936,-0.0258611539262665,-0.0374490524370331,0.0
1,0.2611544837070936,-0.0258611539262665,-0.0374490524370331,0.0
1,0.2611544837070936,-0.0258611539262665,-0.0374490524370331,0.0
1,0.2598162584434454,-0.0251391453972251,-0.037222484276626,0.2769325
1,0.2598162584434454,-0.0251391453972251,-0.037222484276626,0.0
1,0.2609891919897521,-0.0254931647941286,-0.0375610500993564,0.28708
1,0.2609891919897521,-0.0254931647941286,-0.0375610500993564,0.0
1,0.2602735817595444,-0.0253608637320627,-0.0373145181295619,0.288895
1,0.2602735817595444,-0.0253608637320627,-0.0373145181295619,0.0
1,0.2517690382156718,-0.0243916247083183,-0.0341578713372459,0.27397625
1,0.2517690382156718,-0.0243916247083183,-0.0341578713372459,0.0
1,0.2420103006246537,-0.0237862087971652,-0.0304441250643401,0.2642
1,0.2420103006246537,-0.0237862087971652,-0.0304441250643401,0.0
1,0.2413404001017271,-0.0237739792196536,-0.0301913735849757,0.2763
1,0.2413404001017271,-0.0237739792196536,-0.0301913735849757,0.0
1,0.2331380071656763,-0.0239524114878401,-0.0272095511103396,0.25914
1,0.2331380071656763,-0.0239524114878401,-0.0272095511103396,0.0
1,0.2310771686729052,-0.0240749520065121,-0.026507637132936,0.2644475
1,0.2310771686729052,-0.0240749520065121,-0.026507637132936,0.0
1,0.2289633193284678,-0.0242757323455349,-0.0258530144875154,0.26168375
1,0.2289633193284678,-0.0242757323455349,-0.0258530144875154,0.0
1,0.2289633193284678,-0.0242757323455349,-0.0258530144875154,0.0
1,0.2289633193284678,-0.0242757323455349,-0.0258530144875154,0.0
1,0.2251016379342877,-0.0251655905747837,-0.024577536789065,0.25252625
2,0.25,-0.015,-0.045,0.0
2,0.2843995420043667,-0.0484949362528447,-0.0217134773167616,0.36035375
2,0.2843995420043667,-0.0484949362528447,-0.0217134773167616,0.0
2,0.2843995420043667,-0.0484949362528447,-0.0217134773167616,0.0
2,0.2843995420043667,-0.0484949362528447,-0.0217134773167616,0.0
2,0.2940114273425027,-0.0536808069599805,-0.0233408170765631,0.3559125
2,0.2940114273425027,-0.0536808069599805,-0.0233408170765631,0.0
2,0.3000136368350709,-0.055492417337515,-0.0250733474500445,0.362375
2,0.3000136368350709,-0.055492417337515,-0.0250733474500445,0.0
2,0.3121797959228669,-0.0577416805546033,-0.0292646614337434,0.3873725
2,0.3121797959228669,-0.0577416805546033,-0.0292646614337434,0.0
2,0.2976135350255751,-0.0560816045706466,-0.0238580760596697,0.3408425
2,0.2976135350255751,-0.0560816045706466,-0.0238580760596697,0.0
