point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.08996252774527601,0.05292910532782231,0.05466387322704722,0.19755550630014554
38,0.23681790160042873,0.10425949035842408,0.1494138360747555,0.4904912280336083
39,0.20711492736726408,0.08030500766700911,0.08281182763495733,0.3702317626692305
35,0.1835235635558762,0.056005019363379954,0.08978859872150731,0.32931718164076346
36,0.16079701783309866,0.05073925004972396,0.08617150744127065,0.29770777532409326
37,0.14889824430763843,0.2024909048929679,0.12917032185386224,0.48055947105446856
22,0.1487627176433029,0.04923182651746136,0.08997014150298971,0.287964685663754
24,0.1237082644252755,0.04086433518929622,0.05139489309127933,0.21596749270585103
26,0.11955911444387812,0.04111908088680642,0.06389090064691003,0.22456909597759458
25,0.11388703922577859,0.07132471422675848,0.07991572895139776,0.2651274824039348
23,0.11364573563629131,0.03772308721891515,0.06942932113083246,0.22079814398603892
27,0.10655779019114012,0.06531201858584591,0.058837198435821116,0.23070700721280715
6,0.09860721783271399,0.03530475825968495,0.053461385555909235,0.18737336164830817
34,0.09798061721829116,0.03664345274640297,0.05321307246777801,0.18783714243247213
19,0.0946422257380764,0.071896786326191,0.09511145635102766,0.26165046841529505
20,0.07798740884372261,0.05351647278042488,0.05611922102593216,0.18762310265007967
12,0.06736691978204302,0.05830524160145025,0.043248320476064125,0.16892048185955738
7,0.06200009013179756,0.07187837511409823,0.03201971658102262,0.1658981818269184
2,0.049180524753866396,0.06161316602316404,0.020568221630384003,0.13136191240741443
8,0.035372928213302963,0.03665376079245372,0.03560682410305161,0.10763351310880828
15,0.03342878118909799,0.036022078630129746,0.020146533252031945,0.08959739307125969
5,0.03290206244059164,0.022130697315732313,0.025371196831430822,0.08040395658775477
14,0.02954703182601506,0.017144915850454634,0.012599564960546676,0.059291512637016375
30,0.02677438266867264,0.02221570994396548,0.008802039581066779,0.057792132193704895
29,0.026120153826959005,0.038814526139315166,0.05665595884138958,0.12159063880766374
13,0.025442202644968322,0.022610200730428597,0.01436100410607241,0.06241340748146933
21,0.020073121868340073,0.019643032932742464,0.007345260592141867,0.04706141539322441
3,0.019732128407999417,0.019913397166441887,0.005080976710140716,0.04472650228458202
16,0.019514248105267102,0.0179450245644878,0.012763089954786708,0.05022236262454161
11,0.017697704640324368,0.008443534418713084,0.024331602253282153,0.050472841312319605
9,0.01475862616334392,0.025424191804876834,0.011035827021491135,0.05121864498971189
33,0.013696494060055912,0.014013091704261472,0.011320727230277274,0.039030312994594654
28,0.013578536789581746,0.0162508452389056,0.008593804888673756,0.0384231869171611
1,0.011677277459104381,0.006776741087534843,0.012611501898620595,0.031065520445259818
17,0.01126910943790391,0.010258332873356413,0.0048173567283863,0.026344799039646625
0,0.009619949293229686,0.003909818271580481,0.008008498589831716,0.021538266154641883
31,0.007222756520599606,0.008570930944901727,0.006739287666040823,0.022532975131542156
18,0.005477556107910271,0.0013169186547630455,0.004754890737027948,0.011549365499701264
10,0.0038634122682629766,0.0005826713158426918,0.003608434862295314,0.008054518446400982
32,0.003099465081347746,0.004617328414232281,0.003970923002950365,0.011687716498530391
4,0.001344611839686263,0.0004711963679621192,0.002892631610082473,0.004708439817730855
