run,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
multiple lambdas - optimization 1,0.1151831561214276,0.15954874161452792,0.05193110457238532,0.32666300230834083
single lambda - optimization 1,0.11518318741320961,0.15954877146929922,0.05193103691331813,0.32666299579582697
multiple lambdas - optimization 2,0.11518417777108739,0.1595491432559132,0.051928842802538656,0.3266621638295393
single lambda - optimization 2,0.11518418048763217,0.15954914228795766,0.05192873020474422,0.326662052980334
