point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.04344466494010771,0.018519146990521984,0.009589870565275282,0.07155368249590498
6,0.13017075977152487,0.0107389528479577,0.005863648122675489,0.14677336074215805
2,0.03469406308134114,0.04296553080457147,0.0008154028838288117,0.07847499676974141
9,0.03075520539718447,0.02546967104759005,0.014798157903390915,0.07102303434816543
7,0.020665188406402205,0.01554649652573385,0.017158127011486984,0.053369811943623044
8,0.020563306669510457,0.017277168351966063,0.014670150601218162,0.05251062562269468
1,0.01844132392624961,0.0179208228959332,0.014600651997668388,0.05096279881985119
5,0.013933029971733037,0.011754931922432937,0.00021805447448853976,0.025906016368654514
10,0.00950740910802623,0.00844686383255821,0.005366348762080075,0.023320621702664517
3,0.009282148563035277,0.008612857890867145,0.0018026079381845246,0.019697614392086945
4,0.007523686199670928,0.0028029823101005215,0.0007332450784146836,0.011059913588186133
0,0.007111564413128275,0.0030927028988266157,0.0014707457520442171,0.01167501306399911
