point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.09117359661961763,0.05293826802600202,0.05598561667961672,0.20009748132523636
38,0.241317698204587,0.10501915399240559,0.15025306096339347,0.4965899131603861
39,0.2068044502084155,0.08041894617548209,0.08137868201796652,0.3686020784018641
35,0.18624401452666356,0.05456834688527044,0.0935354391854217,0.3343478005973557
36,0.1636514382977472,0.04999165214975753,0.08903151613858278,0.3026746065860875
22,0.15107618161022818,0.05020899567554295,0.08985968306487065,0.29114486035064174
37,0.1489147043616265,0.20121129093060858,0.1298888409981641,0.4800148362903992
24,0.12504624669965822,0.04274211088385944,0.05327472448008579,0.22106308206360345
26,0.11921901452983172,0.04327546554705336,0.06470480334446041,0.2271992834213455
23,0.11620163675986223,0.03831240790265615,0.07162142280203677,0.22613546746455515
25,0.11457736435260077,0.07278635134973872,0.08117517189313223,0.26853888759547173
27,0.11155594607780565,0.06559897933723645,0.06839703591286093,0.24555196132790302
6,0.10052037274765598,0.03312134374816303,0.06025541180898547,0.1938971283048045
34,0.09898965943941118,0.03894473112345027,0.05380247705641639,0.19173686761927783
19,0.09783732999413684,0.07255354593585443,0.09341406504148345,0.2638049409714747
20,0.08271336136708704,0.05354730484175388,0.0600023298827015,0.1962629960915424
12,0.06682156669548679,0.05826789089595806,0.044319846559158174,0.169409304150603
7,0.060029012918548806,0.07150632588422824,0.034169880084719634,0.16570521888749667
2,0.049481909179110065,0.06082325567266843,0.021761328971924985,0.13206649382370347
8,0.036863539264559195,0.03571325663559452,0.03952788810914168,0.1121046840092954
15,0.03285854084324241,0.03474418065487107,0.021160506231169475,0.08876322772928294
5,0.03282152196022862,0.02200107122998713,0.026108189394467667,0.08093078258468342
30,0.02966186308162921,0.025655099139910206,0.014491869008548618,0.06980883123008803
14,0.02930947167818786,0.015958957223047295,0.015677330049151394,0.06094575895038655
29,0.02640297295933329,0.03827950242223927,0.05701050250826514,0.12169297788983771
13,0.02529740023224123,0.022421110579515135,0.014531967304466462,0.06225047811622282
21,0.020156009291513486,0.019434491284898707,0.009220788433011,0.04881128900942319
3,0.0199217905452014,0.01967718125614726,0.007109978266582231,0.046708950067930896
11,0.01962923962082294,0.008396390465445427,0.026003850944313643,0.05402948103058201
16,0.01943856772678487,0.018058781192925727,0.013733897515290396,0.051231246435000995
9,0.016078092579105918,0.025617499419258807,0.017272321285689965,0.05896791328405469
33,0.013902166511645964,0.0146731842131304,0.011735510300542084,0.040310861025318445
28,0.013597762447011406,0.01615831067296241,0.009692166013269924,0.03944823913324374
1,0.012240886834000167,0.006639844632945497,0.014464523577374122,0.03334525504431979
17,0.011262492800455121,0.01027515399134403,0.0055023864515742395,0.02704003324337339
0,0.009873713731560287,0.003015845320207508,0.010480705742681815,0.023370264794449612
31,0.006883754084336315,0.008537368030311025,0.00959996185016085,0.02502108396480819
18,0.005506822243619254,0.0017170747389396936,0.00571181605622214,0.012935713038781087
10,0.0041557526667324474,0.0004864136426997203,0.0049071442564838095,0.009549310565915977
32,0.0027474517759473317,0.004501214432341179,0.004720456515654896,0.011969122723943407
4,0.0019226161908260924,0.00044494537452508144,0.004056783940387729,0.006424345505738903
